timestamp,open,high,low,close,adjusted close,volume,dividend amount
2009-03-20,75.0000,96.2000,71.5500,91.9000,36.5025,131516,0.0000
2009-03-13,78.0000,79.0000,72.3000,73.7500,29.2933,33014,0.0000
2009-03-09,81.3500,81.3500,77.4000,77.7000,30.8623,10112,0.0000
2009-03-06,87.0000,99.8000,80.1000,81.3000,32.2922,164676,0.0000
2009-02-27,88.0000,91.8000,85.0500,86.8000,34.4768,11262,0.0000
2009-02-20,100.0000,102.9500,90.0000,90.6000,35.9861,48686,0.0000
2009-02-13,102.0000,104.8000,99.0000,100.0000,39.7198,17974,0.0000
2009-02-06,104.0000,107.0000,97.1500,101.1000,40.1567,26880,0.0000
2009-01-30,98.1000,104.7000,96.5000,102.0500,40.5340,12786,0.0000
2009-01-23,101.5000,105.0000,94.1500,99.2000,39.4020,14850,0.0000
2009-01-16,121.0000,121.0000,101.1000,102.8000,40.8319,19536,0.0000
2009-01-09,126.9000,128.4500,107.0000,111.8500,44.4266,28368,0.0000
2009-01-02,111.0000,130.0000,109.1000,121.2000,48.1404,33336,0.0000
2008-12-26,125.0000,130.0000,112.2000,113.2000,44.9628,24332,0.0000
2008-12-19,114.0000,141.0000,103.6000,119.5000,47.4652,66400,0.0000
2008-12-12,100.1000,114.7000,96.1500,107.2500,42.5995,25214,0.0000
2008-12-05,99.0000,103.0000,97.5000,98.3000,39.0446,14172,0.0000
2008-11-28,104.5500,104.5500,99.0000,100.0000,39.7198,13300,0.0000
2008-11-21,111.0000,114.0000,96.1000,100.7500,40.0177,49732,0.0000
2008-11-14,121.9500,126.9500,113.2000,114.3000,45.3997,11396,0.0000
2008-11-07,125.0000,137.0000,112.0000,121.8500,48.3986,51044,0.0000
2008-10-31,94.3000,126.9000,94.3000,120.4000,47.8226,19368,0.0000
2008-10-24,110.0500,128.8000,102.0000,104.4000,41.4675,37916,0.0000
2008-10-17,125.2000,139.7500,106.0000,114.6500,45.5387,77064,0.0000
2008-10-10,168.5000,172.0000,118.2000,126.5000,50.2455,78324,0.0000
2008-10-03,199.9000,199.9000,165.0000,171.9500,68.2982,114148,0.0000
2008-09-26,255.0000,258.0000,195.0000,198.4000,78.8041,234936,0.0000
2008-09-19,1267.5000,1520.1500,243.0000,260.4000,103.4303,866316,0.0000
2008-09-12,1197.4000,1645.0000,1155.0000,1342.9500,106.6834,582940,0.0000
2008-09-05,1098.5000,1127.5000,1082.5000,1092.4250,86.7818,21300,0.0000
2008-08-29,1195.0000,1195.0000,1061.5500,1095.9750,87.0638,17960,0.0000
2008-08-22,1117.5000,1175.5250,1090.0000,1115.5250,88.6168,33680,0.0000
2008-08-14,1191.2250,1206.2250,1125.0000,1136.5500,90.2871,18780,0.0000
2008-08-08,1160.5000,1210.5000,1142.5000,1179.4500,93.6950,23000,0.0000
2008-08-01,1200.0000,1201.1000,1156.0250,1174.1500,93.2740,21020,0.0000
2008-07-25,1075.0000,1272.5000,1052.5000,1192.6000,94.7397,56700,0.0000
2008-07-18,1049.5000,1094.9500,1036.5000,1074.3500,85.3459,36180,20.0000
2008-07-11,1010.5000,1100.0000,980.5000,1059.5750,68.2033,36740,0.0000
2008-07-04,1043.1500,1153.0000,962.5000,1000.7250,64.4152,83200,0.0000
2008-06-27,1053.5000,1114.9250,1010.0000,1053.7000,67.8251,65660,0.0000
2008-06-20,1087.5000,1257.4250,1075.5000,1094.7750,70.4690,85620,0.0000
2008-06-13,1080.3000,1110.0000,1010.5000,1090.5500,70.1971,34140,0.0000
2008-06-06,1222.5000,1246.5000,1100.5000,1115.7000,71.8160,41900,0.0000
2008-05-30,1312.5000,1335.0000,1222.7250,1240.6500,79.8588,84020,0.0000
2008-05-23,1400.0000,1545.0000,1300.0000,1317.6000,84.8120,207820,0.0000
2008-05-16,1225.0000,1423.0000,1212.5000,1377.6000,88.6741,54240,0.0000
2008-05-09,1425.0000,1432.5000,1236.1750,1254.4000,80.7439,44760,0.0000
2008-05-02,1315.0000,1451.0000,1265.0250,1405.5500,90.4732,74860,0.0000
2008-04-25,1349.9750,1350.0000,1262.5000,1306.3250,84.0862,75120,0.0000
2008-04-17,1245.5000,1399.0000,1245.5000,1311.9750,84.4499,49940,0.0000
2008-04-11,1140.5000,1269.3750,1105.0000,1269.3750,81.7078,58440,0.0000
2008-04-04,1123.5000,1313.8250,1122.5000,1172.6500,75.4817,95580,0.0000
2008-03-28,950.5000,1083.3750,906.6250,1083.3750,69.7352,84580,0.0000
2008-03-19,1085.0000,1140.0000,940.7500,963.5500,62.0223,146080,0.0000
2008-03-14,1050.0000,1300.5000,1043.9000,1134.1000,73.0003,94660,0.0000
2008-03-07,1340.0000,1374.9500,1159.8750,1159.8750,74.6594,37980,0.0000
2008-02-29,1477.5000,1477.5000,1350.0000,1379.1000,88.7706,49320,0.0000
2008-02-22,1426.8500,1549.9500,1425.5500,1477.1500,95.0820,69480,0.0000
2008-02-15,1367.5000,1425.0000,1232.6000,1358.9250,87.4720,76460,0.0000
2008-02-08,1580.0000,1615.5000,1437.4000,1437.6000,92.5362,91940,0.0000
2008-02-01,1509.5000,1747.4000,1475.0000,1519.3250,97.7967,101000,0.0000
